"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding","preferred"
"101063","101063","Boom Tunnelweg","51.099860","4.353680","https://www.delijn.be/nl/haltes/101063","0","2"
"101064","101064","Reet Hof Daman","51.110110","4.371910","https://www.delijn.be/nl/haltes/101064","0","2"
"101066","101066","Hemiksem Werkplaatsen","51.156620","4.344600","https://www.delijn.be/nl/haltes/101066","0","1"
"101067","101067","Hemiksem Werkplaatsen","51.156710","4.344690","https://www.delijn.be/nl/haltes/101067","1","1"
"101068","101068","Hemiksem Irisweg","51.154430","4.347200","https://www.delijn.be/nl/haltes/101068","0","2"
"101069","101069","Hemiksem Irisweg","51.154400","4.347030","https://www.delijn.be/nl/haltes/101069","0","2"
"101070","101070","Hoboken Aartselaarstraat","51.176910","4.368120","https://www.delijn.be/nl/haltes/101070","1","2"
"101071","101071","Hemiksem Heiligstraat","51.150220","4.349810","https://www.delijn.be/nl/haltes/101071","0","2"
"101072","101072","Hemiksem Heiligstraat","51.150750","4.349620","https://www.delijn.be/nl/haltes/101072","0","2"
"101073","101073","Hemiksem Landbouwweg","51.147560","4.347780","https://www.delijn.be/nl/haltes/101073","0","2"
"101074","101074","Hemiksem Landbouwweg","51.147620","4.347890","https://www.delijn.be/nl/haltes/101074","0","2"
"101075","101075","Hoboken Aartselaarstraat","51.177440","4.368340","https://www.delijn.be/nl/haltes/101075","1","2"
"101076","101076","Hemiksem Gemeenteplaats","51.144300","4.346640","https://www.delijn.be/nl/haltes/101076","0","1"
"101077","101077","Hemiksem Gemeenteplaats","51.144350","4.346650","https://www.delijn.be/nl/haltes/101077","0","1"
"101078","101078","Hemiksem Kerkstraat","51.142920","4.344420","https://www.delijn.be/nl/haltes/101078","0","2"
"101079","101079","Hemiksem Kerkstraat","51.143070","4.344710","https://www.delijn.be/nl/haltes/101079","0","2"
"101080","101080","Antwerpen Abdijstraat","51.189760","4.377960","https://www.delijn.be/nl/haltes/101080","0","1"
"101081","101081","Hemiksem Beukenlaan","51.139760","4.345600","https://www.delijn.be/nl/haltes/101081","0","2"
"101082","101082","Hemiksem Beukenlaan","51.139640","4.345380","https://www.delijn.be/nl/haltes/101082","0","2"
"101083","101083","Hemiksem Bouwerijstraat","51.136970","4.344690","https://www.delijn.be/nl/haltes/101083","0","2"
"101084","101084","Hemiksem Bouwerijstraat","51.136980","4.344420","https://www.delijn.be/nl/haltes/101084","0","2"
"101085","101085","Antwerpen Abdijstraat","51.190750","4.378890","https://www.delijn.be/nl/haltes/101085","0","1"
"101086","101086","Hemiksem Atletiekstraat","51.136500","4.341970","https://www.delijn.be/nl/haltes/101086","0","2"
"101087","101087","Hemiksem Atletiekstraat","51.136660","4.342100","https://www.delijn.be/nl/haltes/101087","0","2"
"101088","101088","Hemiksem Station","51.136250","4.337480","https://www.delijn.be/nl/haltes/101088","0","1"
"101089","101089","Hemiksem Station","51.136290","4.337730","https://www.delijn.be/nl/haltes/101089","0","1"
"101090","101090","Wilrijk Eglantierlaan","51.182200","4.394480","https://www.delijn.be/nl/haltes/101090","0","2"
"101091","101091","Itegem Oude Steenweg","51.103727","4.716069","https://www.delijn.be/nl/haltes/101091","0","2"
"101092","101092","Itegem Oude Steenweg","51.103720","4.715530","https://www.delijn.be/nl/haltes/101092","0","2"
"101093","101093","Niel Het Geleeg","51.111450","4.345110","https://www.delijn.be/nl/haltes/101093","0","2"
"101094","101094","Niel Het Geleeg","51.111220","4.345670","https://www.delijn.be/nl/haltes/101094","0","2"
"101096","101096","Itegem Beukenlaan","51.095050","4.711210","https://www.delijn.be/nl/haltes/101096","0","2"
"101098","101098","Lichtaart Olensteenweg","51.209920","4.902470","https://www.delijn.be/nl/haltes/101098","1","2"
"101099","101099","Lichtaart Olensteenweg","51.209860","4.902680","https://www.delijn.be/nl/haltes/101099","0","2"
"101101","101101","Poederlee Schrieken","51.223010","4.831010","https://www.delijn.be/nl/haltes/101101","0","2"
"101102","101102","Dessel Goormansdijk","51.229200","5.114510","https://www.delijn.be/nl/haltes/101102","0","2"
"101104","101104","Kapelle-op-den-Bos Huttekensstraat","51.004160","4.361260","https://www.delijn.be/nl/haltes/101104","0","2"
"101108","101108","Kapelle-op-den-Bos Huttekensstraat","51.004090","4.361380","https://www.delijn.be/nl/haltes/101108","0","2"
"101109","101109","Molenstede Eikelenberg","51.012220","5.022900","https://www.delijn.be/nl/haltes/101109","0","2"
"101110","101110","Antwerpen Straatsburgdok","51.241210","4.420470","https://www.delijn.be/nl/haltes/101110","0","2"
"101111","101111","Molenstede Eikelenberg","51.012150","5.022700","https://www.delijn.be/nl/haltes/101111","0","2"
"101112","101112","Turnhout Apostoliekenstraat","51.315620","4.950010","https://www.delijn.be/nl/haltes/101112","0","2"
"101113","101113","Herenthout Markt","51.138930","4.756410","https://www.delijn.be/nl/haltes/101113","0","2"
"101114","101114","Borgerhout Station Oost","51.208920","4.436530","https://www.delijn.be/nl/haltes/101114","0","2"
"101116","101116","Turnhout Rubensstraat","51.315370","4.940150","https://www.delijn.be/nl/haltes/101116","1","2"
"101117","101117","Bonheiden Sint-Ludwinakerk","51.035880","4.536250","https://www.delijn.be/nl/haltes/101117","0","2"
"101118","101118","Bonheiden Sint-Ludwinakerk","51.035970","4.535510","https://www.delijn.be/nl/haltes/101118","0","2"
"101119","101119","Herenthout Verbistlaan","51.136890","4.745800","https://www.delijn.be/nl/haltes/101119","0","2"
"101121","101121","Herenthout Verbistlaan","51.137050","4.746800","https://www.delijn.be/nl/haltes/101121","0","2"
"101122","101122","Kessel Landstraat","51.145580","4.623930","https://www.delijn.be/nl/haltes/101122","0","2"
"101123","101123","Kessel Landstraat","51.146080","4.623770","https://www.delijn.be/nl/haltes/101123","0","2"
"101124","101124","Kessel Nieuwstraat","51.142250","4.624570","https://www.delijn.be/nl/haltes/101124","0","2"
"101125","101125","Antwerpen Bestorming","51.206410","4.396720","https://www.delijn.be/nl/haltes/101125","0","1"
"101127","101127","Kessel Nieuwstraat","51.142140","4.624710","https://www.delijn.be/nl/haltes/101127","0","2"
"101128","101128","Kessel Nieuwe Bevelsesteenweg","51.137520","4.633870","https://www.delijn.be/nl/haltes/101128","0","2"
"101130","101130","Antwerpen Begijnenvest","51.209790","4.402060","https://www.delijn.be/nl/haltes/101130","1","2"
"101131","101131","Niel Lode Zielensstraat","51.111780","4.342220","https://www.delijn.be/nl/haltes/101131","0","2"
"101132","101132","Niel Lode Zielensstraat","51.111900","4.342120","https://www.delijn.be/nl/haltes/101132","0","2"
"101133","101133","Wilrijk Dr. Veeckmanslaan","51.176260","4.388980","https://www.delijn.be/nl/haltes/101133","0","2"
"101134","101134","Wilrijk Dr. Veeckmanslaan","51.177290","4.388440","https://www.delijn.be/nl/haltes/101134","1","2"
"101135","101135","Antwerpen Sint-Jansplein","51.224540","4.416270","https://www.delijn.be/nl/haltes/101135","0","1"
"101136","101136","Antwerpen Sint-Jansplein","51.224700","4.416320","https://www.delijn.be/nl/haltes/101136","0","1"
"101137","101137","Wilrijk Geleegweg","51.158460","4.388420","https://www.delijn.be/nl/haltes/101137","0","2"
"101138","101138","Wilrijk Geleegweg","51.158900","4.388050","https://www.delijn.be/nl/haltes/101138","0","2"
"101140","101140","Kessel Nieuwe Bevelsesteenweg","51.137900","4.633380","https://www.delijn.be/nl/haltes/101140","0","2"
"101141","101141","Wilrijk Planetariumlaan","51.156150","4.389520","https://www.delijn.be/nl/haltes/101141","0","2"
"101142","101142","Wilrijk Planetariumlaan","51.156140","4.389350","https://www.delijn.be/nl/haltes/101142","0","2"
"101145","101145","Deurne Antwerp stadion","51.228400","4.469560","https://www.delijn.be/nl/haltes/101145","1","2"
