"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"2335_2--233526A_0","1","33","Melle - Flora - Zuid - Dampoort - Destelbergen","Melle - Flora - Zuid - Dampoort - Destelbergen","3","https://www.delijn.be/nl/lijnen/2335/?richtingCode=0","00A6E2","000000"
"2335_2--233526A_1","1","33","Destelbergen - Dampoort - Zuid - Flora - Melle","Destelbergen - Dampoort - Zuid - Flora - Melle","3","https://www.delijn.be/nl/lijnen/2335/?richtingCode=1","00A6E2","000000"
"2345_2--GEN-25O_0","1","34","(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren","(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren","3","https://www.delijn.be/nl/lijnen/2345/?richtingCode=0","EF7D00","000000"
"2345_2--GEN-25O_1","1","34","Wetteren-Laarne - Destelbergen - Gent (-Leerne/De Pinte)","Wetteren-Laarne - Destelbergen - Gent (-Leerne/De Pinte)","3","https://www.delijn.be/nl/lijnen/2345/?richtingCode=1","EF7D00","000000"
"2345_2--GEN-26A_0","1","34","(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren","(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren","3","https://www.delijn.be/nl/lijnen/2345/?richtingCode=0","EF7D00","000000"
"2345_2--GEN-26A_1","1","34","Wetteren-Laarne - Destelbergen - Gent (-Leerne/De Pinte)","Wetteren-Laarne - Destelbergen - Gent (-Leerne/De Pinte)","3","https://www.delijn.be/nl/lijnen/2345/?richtingCode=1","EF7D00","000000"
"2348_2--GEN-25O_0","1","348","Gent Sint-Pieters - Destelbergen - Beervelde - Lokeren","Gent Sint-Pieters - Destelbergen - Beervelde - Lokeren","3","https://www.delijn.be/nl/lijnen/2348/?richtingCode=0","FFFFFF","B59E6A"
"2348_2--GEN-25O_1","1","348","Lokeren - Beervelde - Destelbergen - Gent Sint-Pieters","Lokeren - Beervelde - Destelbergen - Gent Sint-Pieters","3","https://www.delijn.be/nl/lijnen/2348/?richtingCode=1","FFFFFF","B59E6A"
"2348_2--GEN-26A_0","1","348","Gent Sint-Pieters - Destelbergen - Beervelde - Lokeren","Gent Sint-Pieters - Destelbergen - Beervelde - Lokeren","3","https://www.delijn.be/nl/lijnen/2348/?richtingCode=0","FFFFFF","B59E6A"
"2348_2--GEN-26A_1","1","348","Lokeren - Beervelde - Destelbergen - Gent Sint-Pieters","Lokeren - Beervelde - Destelbergen - Gent Sint-Pieters","3","https://www.delijn.be/nl/lijnen/2348/?richtingCode=1","FFFFFF","B59E6A"
"2349_2--GEN-25O_0","1","349","Gent Sint-Pieters - Destelbergen - Kalken - Overmere-Zele","Gent Sint-Pieters - Destelbergen - Kalken - Overmere-Zele","3","https://www.delijn.be/nl/lijnen/2349/?richtingCode=0","FFFFFF","B59E6A"
"2349_2--GEN-25O_1","1","349","Zele-Overmere - Kalken - Destelbergen - Gent Sint-Pieters","Zele-Overmere - Kalken - Destelbergen - Gent Sint-Pieters","3","https://www.delijn.be/nl/lijnen/2349/?richtingCode=1","FFFFFF","B59E6A"
"2349_2--GEN-26A_0","1","349","Gent Sint-Pieters - Destelbergen - Kalken - Overmere-Zele","Gent Sint-Pieters - Destelbergen - Kalken - Overmere-Zele","3","https://www.delijn.be/nl/lijnen/2349/?richtingCode=0","FFFFFF","B59E6A"
"2349_2--GEN-26A_1","1","349","Zele-Overmere - Kalken - Destelbergen - Gent Sint-Pieters","Zele-Overmere - Kalken - Destelbergen - Gent Sint-Pieters","3","https://www.delijn.be/nl/lijnen/2349/?richtingCode=1","FFFFFF","B59E6A"
"2360_2--WAA-25O_0","1","36","Vuylstekelaan - IGLO","Vuylstekelaan - IGLO","3","https://www.delijn.be/nl/lijnen/2360/?richtingCode=0","EF7D00","000000"
"2360_2--WAA-25O_1","1","36","IGLO - Vuylstekelaan","IGLO - Vuylstekelaan","3","https://www.delijn.be/nl/lijnen/2360/?richtingCode=1","EF7D00","000000"
"2360_2--WAA-26A_0","1","36","Vuylstekelaan - IGLO","Vuylstekelaan - IGLO","3","https://www.delijn.be/nl/lijnen/2360/?richtingCode=0","EF7D00","000000"
"2360_2--WAA-26A_1","1","36","IGLO - Vuylstekelaan","IGLO - Vuylstekelaan","3","https://www.delijn.be/nl/lijnen/2360/?richtingCode=1","EF7D00","000000"
"2361_2--AVA-25P_0","1","361","Zottegem - Sint-Antelinks - Aspelare - Ninove","Zottegem - Sint-Antelinks - Aspelare - Ninove","3","https://www.delijn.be/nl/lijnen/2361/?richtingCode=0","FFFFFF","B59E6A"
"2361_2--AVA-25P_1","1","361","Ninove - Aspelare - Sint-Antelinks - Zottegem","Ninove - Aspelare - Sint-Antelinks - Zottegem","3","https://www.delijn.be/nl/lijnen/2361/?richtingCode=1","FFFFFF","B59E6A"
"2361_2--AVA-26A_0","1","361","Zottegem - Sint-Antelinks - Aspelare - Ninove","Zottegem - Sint-Antelinks - Aspelare - Ninove","3","https://www.delijn.be/nl/lijnen/2361/?richtingCode=0","FFFFFF","B59E6A"
"2361_2--AVA-26A_1","1","361","Ninove - Aspelare - Sint-Antelinks - Zottegem","Ninove - Aspelare - Sint-Antelinks - Zottegem","3","https://www.delijn.be/nl/lijnen/2361/?richtingCode=1","FFFFFF","B59E6A"
"2362_2--AVA-26A_0","1","362","Zottegem - Sint-Lievens-Esse - Steenhuize-Wijnhuize","Zottegem - Sint-Lievens-Esse - Steenhuize-Wijnhuize","3","https://www.delijn.be/nl/lijnen/2362/?richtingCode=0","FFFFFF","B59E6A"
"2362_2--AVA-26A_1","1","362","Steenhuize-Wijnhuize - Sint-Lievens-Esse - Zottegem","Steenhuize-Wijnhuize - Sint-Lievens-Esse - Zottegem","3","https://www.delijn.be/nl/lijnen/2362/?richtingCode=1","FFFFFF","B59E6A"
